Function,Used Registers,Shared Memory,Constant Memory
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb0ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb0ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb0ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb1ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb1ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb1ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb1ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb0ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb0ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z13gemmk1_kernelIdLi256ELi5ELb0ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,28,544,496
_Z40gemm_kernel2x2_tile_multiple_core_64addrIdLb1ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,64,4352,436
_Z40gemm_kernel2x2_tile_multiple_core_64addrIdLb1ELb0ELb0ELb1ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,64,4352,436
_Z40gemm_kernel2x2_tile_multiple_core_64addrIdLb1ELb0ELb0ELb0ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,64,4352,436
_Z40gemm_kernel2x2_tile_multiple_core_64addrIdLb1ELb0ELb0ELb0ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,64,4352,436
_Z19gemm_kernel2x2_coreIdLb0ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,64,4352,436
